"block","row","col","pop","mf","rep","bud.date","flower.date","fruit.date","last.FR.date","last.FL.date","death.date","Notes","planting_date","bud.date_dt","flower.date_dt","fruit.date_dt","last.FR.date_dt","last.FL.date_dt","death.date_dt"
"D2",24,"D","LV3",4,12,NA,NA,NA,NA,NA,2023-02-03,NA,2022-11-27,NA,NA,NA,NA,NA,68
"D2",25,"C","WL1",2,1,NA,NA,NA,NA,NA,2023-01-27,NA,2022-11-27,NA,NA,NA,NA,NA,61
"D2",25,"D","FR",6,10,NA,NA,NA,NA,NA,2023-03-17,NA,2022-11-27,NA,NA,NA,NA,NA,110
"D2",26,"C","WL1",4,11,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",26,"D","SC",5,11,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",27,"C","BH",7,5,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",27,"D","SC",4,10,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",28,"C","FR",2,9,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",28,"D","FR",1,6,NA,NA,NA,NA,NA,2023-02-10,NA,2022-11-27,NA,NA,NA,NA,NA,75
"D2",29,"C","BH",4,13,NA,NA,NA,NA,NA,2023-10-16,NA,2022-11-27,NA,NA,NA,NA,NA,323
"D2",29,"D","BH",2,9,2023-06-01,2023-06-12,2023-06-15,2023-09-05,2023-09-05,NA,NA,2022-11-27,186,197,200,282,282,NA
"D2",30,"C","CP2",5,2,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",30,"D","BH",1,10,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",31,"C","SQ1",1,11,NA,NA,NA,NA,NA,2023-02-03,NA,2022-11-27,NA,NA,NA,NA,NA,68
"D2",31,"D","LVTR1",6,5,NA,NA,NA,NA,NA,2023-02-10,NA,2022-11-27,NA,NA,NA,NA,NA,75
"D2",32,"C","LV3",7,1,NA,NA,NA,NA,NA,2023-02-03,NA,2022-11-27,NA,NA,NA,NA,NA,68
"D2",32,"D","WL1",3,9,NA,NA,NA,NA,NA,2023-01-12,NA,2022-11-27,NA,NA,NA,NA,NA,46
"D2",33,"C","CP3",12,1,NA,NA,NA,NA,NA,2023-02-10,NA,2022-11-27,NA,NA,NA,NA,NA,75
"D2",33,"D","BH",5,10,NA,NA,NA,NA,NA,2023-01-12,NA,2022-11-27,NA,NA,NA,NA,NA,46
"D2",34,"C","WL1",7,12,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",34,"D","SQ1",6,4,NA,NA,NA,NA,NA,2023-01-06,NA,2022-11-27,NA,NA,NA,NA,NA,40
"D2",35,"C","SC",6,11,NA,NA,NA,NA,NA,2023-02-24,NA,2022-11-27,NA,NA,NA,NA,NA,89
"D2",35,"D","BH",3,6,2023-05-01,2023-05-18,2023-05-22,2023-06-26,2023-06-29,2023-09-05,NA,2022-11-27,155,172,176,211,214,282
"D2",36,"C","IH",4,1,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",36,"D","WL1",6,5,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",37,"C","SQ1",7,4,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"D2",37,"D","LV3",5,11,NA,NA,NA,NA,NA,2023-02-03,NA,2022-11-27,NA,NA,NA,NA,NA,68
"D2",38,"C","YO7",2,10,NA,NA,NA,NA,NA,2022-12-13,NA,2022-11-27,NA,NA,NA,NA,NA,16
"D2",38,"D","SC",2,1,NA,NA,NA,NA,NA,2023-02-10,NA,2022-11-27,NA,NA,NA,NA,NA,75
"D2",39,"C","WL1",7,16,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",39,"D","WL1",6,21,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",40,"C","TM2",2,1,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",40,"D","YO7",7,11,NA,NA,NA,NA,NA,2023-03-24,NA,2022-11-27,NA,NA,NA,NA,NA,117
"D2",41,"C","WL1",7,2,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",41,"D","IH",2,9,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"D2",42,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"D2",42,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"D2",43,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"D2",43,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",1,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",1,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",2,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",2,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",3,"A","LV1",6,6,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"F1",3,"B","CP2",5,13,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"F1",4,"A","SQ2",6,4,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"F1",4,"B","SQ3",3,4,NA,NA,NA,NA,NA,2023-05-08,NA,2022-11-27,NA,NA,NA,NA,NA,162
"F1",5,"A","WL1",4,2,NA,NA,NA,NA,NA,2023-01-06,NA,2022-11-27,NA,NA,NA,NA,NA,40
"F1",5,"B","LVTR1",6,12,NA,NA,NA,NA,NA,2023-05-08,NA,2022-11-27,NA,NA,NA,NA,NA,162
"F1",6,"A","CP2",4,4,NA,NA,NA,NA,NA,2023-05-01,NA,2022-11-27,NA,NA,NA,NA,NA,155
"F1",6,"B","WL2",4,1,NA,NA,NA,NA,NA,2023-05-01,NA,2022-11-27,NA,NA,NA,NA,NA,155
"F1",7,"A","LV3",1,8,NA,NA,NA,NA,NA,2023-01-12,NA,2022-11-27,NA,NA,NA,NA,NA,46
"F1",7,"B","IH",4,20,NA,NA,NA,NA,NA,2023-05-08,NA,2022-11-27,NA,NA,NA,NA,NA,162
"F1",8,"A","TM2",2,2,2023-03-22,NA,NA,NA,NA,2023-04-10,NA,2022-11-27,115,NA,NA,NA,NA,134
"F1",8,"B","SC",5,13,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"F1",9,"A","DPR",2,5,NA,NA,NA,NA,NA,2023-03-10,NA,2022-11-27,NA,NA,NA,NA,NA,103
"F1",9,"B","YO8",2,11,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"F1",10,"A","BH",7,19,NA,NA,NA,NA,NA,2023-02-10,NA,2022-11-27,NA,NA,NA,NA,NA,75
"F1",10,"B","WL1",1,5,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"F1",11,"A","FR",5,9,NA,NA,NA,NA,NA,2023-03-24,NA,2022-11-27,NA,NA,NA,NA,NA,117
"F1",11,"B","WL1",2,12,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"F1",12,"A","CC",6,3,NA,NA,NA,NA,NA,2023-02-24,NA,2022-11-27,NA,NA,NA,NA,NA,89
"F1",12,"B","TM2",1,3,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"F1",13,"A","SC",6,12,NA,NA,NA,NA,NA,2023-01-20,NA,2022-11-27,NA,NA,NA,NA,NA,54
"F1",13,"B","WL1",7,27,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"F1",14,"A","IH",4,12,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"F1",14,"B","WL1",7,17,NA,NA,NA,NA,NA,2022-12-21,NA,2022-11-27,NA,NA,NA,NA,NA,24
"F1",15,"A","BH",6,9,NA,NA,NA,NA,NA,NA,NA,2022-11-27,NA,NA,NA,NA,NA,NA
"F1",15,"B","SQ1",1,12,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"F1",16,"A","WL1",2,2,NA,NA,NA,NA,NA,2023-03-03,NA,2022-11-27,NA,NA,NA,NA,NA,96
"F1",16,"B","FR",2,4,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
"F1",17,"A","WL1",6,22,NA,NA,NA,NA,NA,2023-02-17,NA,2022-11-27,NA,NA,NA,NA,NA,82
