"","block","bed","row","col","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","site","year","elev_m","Lat","Grw_Ssn_GD","Wtr_Yr_GD","UCD_Y1_Prob_Fruits","WL2_Y2_Prob_Fruits","WL2_ProbFitness","WL2_Total_Fitness","log_WL2_Total_Fitness","Fruits","FrFlw","bud.duration","flower.duration","fruit.duration","total.repro.duration","initiate.repro"
"74","K","G",40,"A","TM2",3,7,14,35,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,7,21,NA,NA,NA,1
"75","K","G",31,"C","TM2",7,5,42,86,86,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,6,44,NA,NA,NA,1
"76","L","H",13,"A","TM2",2,6,93,NA,NA,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"77","K","H",21,"B","TM2",1,12,14,63,NA,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,2,0.693147180559945,2,4,49,NA,NA,NA,1
"78","K","H",27,"A","TM2",6,10,7,56,63,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,2,0.693147180559945,2,3,49,NA,NA,NA,1
"79","L","H",6,"C","TM2",5,11,14,NA,NA,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"80","M","J",5,"A","TM2",2,11,21,42,56,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,3,1.09861228866811,3,4,21,NA,NA,NA,1
"81","M","J",17,"B","TM2",5,12,28,56,86,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,2,0.693147180559945,2,2,28,NA,NA,NA,1
"82","M","J",4,"D","TM2",7,7,14,35,42,NA,NA,NA,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,1,4,1.38629436111989,4,4,21,NA,NA,NA,1
"83","M","J",10,"D","TM2",3,10,14,NA,NA,NA,NA,42,"WL2",23,379.1526973,39.59255,0.410432631361041,0.571519874568224,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
