block,loc,bed,row,col,pop,mf,rep,unique.ID
E,D_29_B,D,29,B,(TM2 x WL2) x (SQ3 x WL2),NA,11,315
E,D_30_A,D,30,A,NA,NA,NA,NA
E,D_30_B,D,30,B,NA,NA,NA,NA
F,D_31_A,D,31,A,WL2,NA,8,103
F,D_31_B,D,31,B,(SQ3 x WL2) x (DPR x WL2),NA,11,813
F,D_32_A,D,32,A,(SQ3 x WL2) x (WL2),NA,13,92
F,D_32_B,D,32,B,TM2,NA,68,538
F,D_33_A,D,33,A,(WV x WL2) x (WV),NA,2,269
F,D_33_B,D,33,B,(DPR) x (WL2 x DPR),NA,15,741
F,D_34_A,D,34,A,TM2 x WL2,NA,4,1280
F,D_34_B,D,34,B,(WL2 x BH) x (WL2 x TM2),NA,11,246
F,D_35_A,D,35,A,(WL2 x DPR) x (WL2),NA,4,1101
F,D_36_A,D,36,A,TM2,NA,33,503
F,D_36_B,D,36,B,WL2,NA,95,190
F,D_37_A,D,37,A,(SQ3 x WL2) x (YO11 x WL2),NA,15,1514
F,D_37_B,D,37,B,TM2,NA,61,531
F,D_38_A,D,38,A,(DPR) x (DPR x WL2),NA,3,713
F,D_38_B,D,38,B,LV1,NA,6,6
F,D_39_A,D,39,A,(TM2 x WL2) x (TM2),NA,8,350
F,D_39_B,D,39,B,TM2,NA,14,484
F,D_40_A,D,40,A,DPR x WL2,NA,5,1214
NA,D_40_B,D,40,B,BH,7,8,BH_7_8
F,D_41_A,D,41,A,(TM2 x BH) x (BH),NA,15,757
F,D_41_B,D,41,B,TM2,NA,89,559
F,D_42_A,D,42,A,LV1 x TM2,NA,8,1232
F,D_42_B,D,42,B,(WL2) x (DPR x WL2),NA,3,897
F,D_43_A,D,43,A,(WL2 x CC) x (WL2 x TM2),NA,13,1190
F,D_43_B,D,43,B,SQ3,NA,19,40
F,D_44_A,D,44,A,(WL2) x (DPR x WL2),NA,1,895
F,D_44_B,D,44,B,NA,NA,NA,NA
G,D_45_A,D,45,A,WV x TM2,NA,13,205
G,D_45_B,D,45,B,(LV1 x WL2) x (WL2 x DPR),NA,5,960
G,D_46_A,D,46,A,(LV1 x WL2) x (LV1 x WL2),NA,6,1023
G,D_46_B,D,46,B,BH,NA,12,398
