"block","bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","survey.notes","pop","mf","rep","bud.date_dt","flower.date_dt","fruit.date_dt","last.FL.date_dt","last.FR.date_dt","death.date_dt","missing.date_dt"
NA,"H",11,"B","IH_2_1",2024-07-23,NA,NA,NA,NA,NA,NA,"9/17 new leaves 8/6 buds eaten 8/20 only branches 10/2 has leaves","IH","2","1",65,NA,NA,NA,NA,NA,NA
NA,"H",12,"B","SC_2_1",NA,NA,NA,NA,NA,NA,2024-06-18,"6/18/24 Missing shade row out","SC","2","1",NA,NA,NA,NA,NA,NA,30
NA,"H",13,"A","TM2_2_6",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"TM2","2","6",NA,NA,NA,NA,NA,30,NA
NA,"H",21,"B","TM2_1_12",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","1","12",NA,NA,NA,NA,NA,NA,NA
NA,"H",25,"B","SC_4_14",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"SC","4","14",NA,NA,NA,NA,NA,30,NA
NA,"H",27,"A","TM2_6_10",NA,NA,NA,NA,NA,NA,NA,"TM2 fruiting from 2023","TM2","6","10",NA,NA,NA,NA,NA,NA,NA
NA,"H",31,"A","YO7_4_11",2024-06-18,2024-06-18,2024-07-02,2024-07-16,2024-08-20,NA,NA,"7/16 small crispy flowers 8/6 dehiscing 8/13/24 harvest fruit 9/17","YO7","4","11",30,30,44,58,93,NA,NA
NA,"H",34,"A","WL2_2_7",NA,NA,NA,NA,NA,2024-07-23,NA,"May have died earler mistakenly coded as NA before 7/23","WL2","2","7",NA,NA,NA,NA,NA,65,NA
NA,"H",3,"C","YO7_7_15",2024-06-18,2024-06-25,2024-07-02,2024-07-16,2024-07-23,NA,NA,"7/16 small crispy flowers 8/13/24 harvest fruit 9/24 Still veg branch","YO7","7","15",30,37,44,58,65,NA,NA
NA,"H",11,"C","IH_4_1",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","4","1",NA,NA,NA,NA,NA,30,NA
NA,"H",12,"C","YO7_4_1",2024-06-18,2024-06-18,2024-07-02,2024-08-13,2024-08-13,2024-09-03,NA,"8/20 tape","YO7","4","1",30,30,44,86,86,107,NA
NA,"H",24,"D","SC_6_13",2024-06-25,2024-07-09,2024-08-06,2024-08-27,2024-08-27,2024-10-02,NA,NA,"SC","6","13",37,51,79,100,100,136,NA
NA,"H",31,"C","IH_5_13",NA,NA,NA,NA,NA,2024-07-02,NA,NA,"IH","5","13",NA,NA,NA,NA,NA,44,NA
NA,"I",12,"A","IH_1_1",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"IH","1","1",NA,NA,NA,NA,NA,30,NA
NA,"I",16,"B","BH_2_1",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"BH","2","1",NA,NA,NA,NA,NA,30,NA
NA,"I",18,"A","BH_1_1",NA,NA,NA,NA,NA,NA,NA,NA,"BH","1","1",NA,NA,NA,NA,NA,NA,NA
NA,"I",3,"D","BH_4_1",NA,NA,NA,NA,NA,2024-06-18,NA,NA,"BH","4","1",NA,NA,NA,NA,NA,30,NA
