bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID
D,49,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,1,2192
D,49,D,(YO11 x WL2) x (WL2),4_13-B,4,13-B,8,2387
D,50,C,(SQ3 x WL2) x (WL2),12_16-A,12,16-A,12,2103
D,50,D,(WL2 x BH) x (WL2 x TM2),2_1,2,1,12,2542
D,51,C,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,3,2445
D,51,D,WL2,2,2,,16,1839
D,52,C,(WL2 x TM2) x (TM2),2_1-3,2,1-3,4,2242
D,52,D,WL1,8,8,,4,1806
D,53,C,WL2 x LV1,8-1_14-1,8-1,14-1,2,2429
D,53,D,(WV x WL2) x (WL2 x BH),2_2,2,2,4,2346
D,54,C,(WV x WL2) x (WL2 x BH),2_2,2,2,8,2567
D,54,D,(YO11 x WL2) x (WL2),,,,10,936
D,55,C,(WL2 x TM2) x (CC x TM2),2-3_2-3,2-3,2-3,5,2235
D,55,D,TM2,,,,92,1796
D,56,C,(TM2 x WL2) x (WL2 x DPR),15_18,15,18,1,2166
D,56,D,TM2 x WL2,,,,7,2485
D,57,C,BH x WL2,1-3_8-1,1-3,8-1,7,1970
D,57,D,buffer,,,,,buffer
D,58,C,buffer,,,,,buffer
D,58,D,buffer,,,,,buffer
D,59,C,buffer,,,,,buffer
D,59,D,buffer,,,,,buffer
E,1,B,buffer,,,,,buffer
E,2,A,buffer,,,,,buffer
E,2,B,buffer,,,,,buffer
E,3,A,buffer,,,,,buffer
E,3,B,buffer,,,,,buffer
E,4,A,(WL2 x BH) x (WL2 x TM2),2_1,2,1,12,2225
E,4,B,TM2 x WL2,,,,7,1998
E,5,A,DPR x WL2,,,,1,2475
E,5,B,TM2,12,12,,83,2641
E,6,A,NA,,,,,NA
E,6,B,(CC x WL2) x (WL2),2_13-B,2,13-B,1,2061
E,7,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,28,2266
E,7,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,21,2534
E,8,A,(WL2 x TM2) x (TM2),2_1-3,2,1-3,44,2282
E,8,B,WL2 x TM2,8_5,8,5,1,2028
E,9,A,buffer,,,,,buffer
E,9,B,(TM2 x WL2) x (TM2),3_1-3,3,1-3,4,2132
E,10,A,BH,,,,13,399
E,10,B,(WV x WL2) x (WV),20_7-3,20,7-3,7,2374
