pop.id,mf,rep,block,bed,rack,col,row,unique.ID,notes
WL2-9,9,5,B2,B,3,B,41,145,
WL2-3,3,9,B2,B,3,C,41,121,
TM2 x WL2,,2,B2,B,3,D,41,710,
TM2 x WL2,,14,B2,B,3,A,42,722,
(TM2 x WL2) x WL2,,9,B2,B,3,B,42,1283,
WL2-11,11,13,B2,B,3,C,42,181,
TM2-1,1,8,B2,B,3,D,42,8,
TM2 x DPR,,24,B2,B,3,A,43,672,
(WL2 x DPR) x DPR,,16,B2,B,3,B,43,1062,
WV x TM2,,28,B2,B,3,C,43,1013,
CC,2,1,B2,B,3,D,43,242,
TM2 x WL1,,8,B2,B,3,A,44,686,
WV x (WV x WL2),,12,B2,B,3,B,44,1097,
WL2-1,1,11,B2,B,3,C,44,109,
(WL2 x DPR) x WL2,,8,B2,B,3,D,44,1073,
buffer,buffer,buffer,B2,B,3,A,45,buffer,
WL1,4,2,B2,B,3,B,45,346,
WL2 x WL1,,13,B2,B,3,C,45,922,
SQ3 x TM2,,22,B2,B,3,D,45,566,
buffer,buffer,buffer,B2,B,3,A,46,buffer,
buffer,buffer,buffer,B2,B,3,B,46,buffer,
buffer,buffer,buffer,B2,B,3,C,46,buffer,
buffer,buffer,buffer,B2,B,3,D,46,buffer,
buffer,buffer,buffer,C1,C,1,A,1,buffer,
buffer,buffer,buffer,C1,C,1,B,1,buffer,
buffer,buffer,buffer,C1,C,1,C,1,buffer,
buffer,buffer,buffer,C1,C,1,D,1,buffer,
CC,2,3,C1,C,1,A,2,244,
WV x (WV x WL2),,2,C1,C,1,B,2,2030,
TM2-5,5,10,C1,C,1,C,2,66,
TM2 x BH,,8,C1,C,1,D,2,612,
(WL2 x DPR) x DPR,,18,C1,C,1,A,3,1064,
LV1 x TM2,,24,C1,C,1,B,3,508,
WL2-11,11,3,C1,C,1,C,3,171,
WV x (WV x WL2),,14,C1,C,1,D,3,2042,
SQ3 x WL2,,8,C1,C,1,A,4,582,
WL2-12,12,13,C1,C,1,B,4,195,
TM2-6,6,12,C1,C,1,C,4,82,
(SQ3 x WL2) x WL2,,1,C1,C,1,D,4,1172,
DPR x WL2,,12,C1,C,1,A,5,464,
WL2-1,1,13,C1,C,1,B,5,111,
TM2 x WL1,,11,C1,C,1,C,5,689,
WL2-1,1,1,C1,C,1,D,5,99,
TM2-1,1,11,C1,C,1,A,6,11,
(TM2 x WL2) x (TM2 x BH),,6,C1,C,1,B,6,1257,
(WL2 x DPR) x WL2,,10,C1,C,1,C,6,1075,
TM2 x WL2,,4,C1,C,1,D,6,712,
(LV1 x WL2) x WL2,,11,C1,C,1,A,7,1145,
SQ3 x TM2,,12,C1,C,1,B,7,556,
WL2 x DPR,,23,C1,C,1,C,7,883,
DPR,5,2,C1,C,1,D,7,231,
(TM2 x BH) x BH,,14,C1,C,1,A,8,1384,
TM2-4,4,11,C1,C,1,B,8,53,
WL1 x WL2,,23,C1,C,1,C,8,853,
(TM2 x WL2) x (YO11 x WL2),,3,C1,C,1,D,8,1297,
WV x WL2,,24,C1,C,1,A,9,1039,
DPR x TM2,,12,C1,C,1,B,9,436,
TM2 x WL2,,16,C1,C,1,C,9,724,
(TM2 x WL2) x (TM2 x WL2),,10,C1,C,1,D,9,1273,
WL2 x BH,,26,C1,C,1,A,10,805,
WV x TM2,,30,C1,C,1,B,10,1015,
LV1 x TM2,,9,C1,C,1,C,10,493,
WL1,8,3,C1,C,1,D,10,360,
TM2 x DPR,,2,C1,C,1,A,11,2006,
(WV x WL2) x WV,,19,C1,C,1,B,11,1349,
(TM2 x WL2) x WL2,,11,C1,C,1,C,11,1285,
TM2 x DPR,,2,C1,C,1,D,11,650,
WV x TM2,,6,C1,C,1,A,12,991,
